patient_id,best_dice,best_threshold,auroc,hausdorff95,inference_time_s,model
patient_000,0.31410664319992065,0.25,0.8609402649995948,68.84039511798287,4.03,vqvae
patient_001,0.36019545793533325,0.09,0.7164665352981167,53.68426212587819,13.29,vqvae
patient_002,0.38324347138404846,0.23,0.865847235664923,64.10148204214939,4.15,vqvae
patient_003,0.30972155928611755,0.28,0.7054337197747179,52.78257288158659,8.64,vqvae
patient_004,0.5531875491142273,0.27,0.8963316419446351,69.02897942168927,3.76,vqvae
patient_005,0.051500353962183,0.18000000000000002,0.7540014985818296,87.86353054595519,5.09,vqvae
patient_006,0.06611774861812592,0.09999999999999999,0.6284010589147123,85.82540416450132,14.41,vqvae
patient_007,0.24888619780540466,0.26,0.8227134705391452,74.57211275000863,4.04,vqvae
patient_008,0.41899269819259644,0.21000000000000002,0.8395495360295908,59.93329625508679,6.71,vqvae
patient_009,0.08332564681768417,0.08,0.6159159758508577,68.62215385719105,8.85,vqvae
patient_010,0.22750046849250793,0.21000000000000002,0.7938786433670005,69.92138442565336,7.16,vqvae
patient_011,0.19144272804260254,0.11,0.689060485003814,75.69015788066504,14.81,vqvae
patient_012,0.4993564784526825,0.25,0.8324704776982259,66.97014260101288,5.79,vqvae
patient_013,0.26378095149993896,0.21000000000000002,0.7112895213281253,60.21627686929839,11.34,vqvae
patient_014,0.1366448551416397,0.09999999999999999,0.617657140382031,71.00704190430693,10.05,vqvae
patient_015,0.22302143275737762,0.16,0.7603508400408007,55.226805085936306,8.79,vqvae
patient_016,0.4541704058647156,0.31,0.8133876759483426,63.631753079732135,4.83,vqvae
patient_017,0.3261142671108246,0.23,0.8507871699151646,65.58200972827838,5.24,vqvae
patient_018,0.04196413978934288,0.08,0.4216915051160338,98.6458311334037,15.57,vqvae
patient_019,0.17059099674224854,0.06999999999999999,0.6736004085124303,69.46221994724903,8.44,vqvae
patient_020,0.08822687715291977,0.18000000000000002,0.7223190044511164,69.31810730249349,5.42,vqvae
patient_021,0.4352998733520508,0.22,0.8712482202693078,67.08949247087803,3.58,vqvae
patient_022,0.44293496012687683,0.19,0.8052469212373206,55.37147279962851,8.7,vqvae
patient_023,0.4267599880695343,0.33,0.8995216182358416,65.55913361233506,3.05,vqvae
patient_024,0.38487154245376587,0.23,0.8005596021675746,62.96824596572466,8.24,vqvae
patient_025,0.12567409873008728,0.18000000000000002,0.7321118726540387,75.71657678474378,6.21,vqvae
patient_026,0.33958160877227783,0.11,0.7669633936962629,69.77822009767804,9.77,vqvae
patient_027,0.5516486763954163,0.44,0.9251951568508751,54.63515351859094,2.73,vqvae
patient_028,0.04727371782064438,0.13,0.6747551171271654,84.52810183601665,4.93,vqvae
patient_029,0.12349025160074234,0.23,0.8191403922090418,80.38656604184557,3.23,vqvae
patient_030,0.1510649472475052,0.36000000000000004,0.8375364409076275,70.03570517957252,4.5,vqvae
patient_031,0.23544014990329742,0.22,0.8089551170159159,77.31106001084191,6.38,vqvae
patient_032,0.2983432114124298,0.14,0.7573858612896103,72.89032857656768,8.95,vqvae
patient_033,0.24683748185634613,0.15000000000000002,0.6987055491618837,57.21887800367987,9.08,vqvae
patient_034,0.43931499123573303,0.2,0.8323630061610912,60.423505360083176,5.55,vqvae
patient_035,0.33265015482902527,0.4,0.8265027715436871,53.5723809439155,4.29,vqvae
patient_036,0.30754220485687256,0.15000000000000002,0.7537147147308823,78.52388171760232,9.72,vqvae
patient_037,0.46083390712738037,0.22,0.8451576241429978,65.19202405202648,7.24,vqvae
patient_038,0.15223628282546997,0.29000000000000004,0.8416266894570686,81.21822449982659,3.38,vqvae
patient_039,0.4081672132015228,0.21000000000000002,0.8281363060423401,67.26812023536856,6.58,vqvae
patient_040,0.5135347247123718,0.09999999999999999,0.8124287052044721,52.124850119688595,7.15,vqvae
patient_041,0.06884462386369705,0.18000000000000002,0.8125486998930928,70.46275611981126,4.83,vqvae
patient_042,0.3797197639942169,0.23,0.8481782633097833,75.21303078589507,7.04,vqvae
patient_043,0.09095898270606995,0.17,0.7923122938038978,80.26830009412184,3.2,vqvae
patient_044,0.45330363512039185,0.27,0.8994093631378831,61.29437168288782,4.15,vqvae
patient_045,0.14684297144412994,0.26,0.7944159792339764,77.64405959278052,3.34,vqvae
patient_046,0.3287094831466675,0.2,0.7390502218148158,56.92099788303083,7.99,vqvae
patient_047,0.28590452671051025,0.09999999999999999,0.6917152995065029,73.77669008569035,11.66,vqvae
patient_048,0.2624937891960144,0.22,0.8067240838268789,72.36021006050217,7.06,vqvae
patient_049,0.3358756899833679,0.36000000000000004,0.8566485286645129,64.32728814430156,3.21,vqvae
patient_000,0.2143285572528839,0.18000000000000002,0.7723488837103761,65.95452979136459,5.25,swin_gan
patient_001,0.34320515394210815,0.06999999999999999,0.6519648272056681,63.40346993658943,12.49,swin_gan
patient_002,0.22703717648983002,0.08,0.6746743706817352,63.76519426771944,9.53,swin_gan
patient_003,0.30638551712036133,0.06999999999999999,0.7627242525865605,56.32051136131489,11.86,swin_gan
patient_004,0.3672384023666382,0.21000000000000002,0.7995351553107556,66.76076692189807,7.44,swin_gan
patient_005,0.06875056028366089,0.23,0.8084312685136905,77.85884663928692,3.1,swin_gan
patient_006,0.13612352311611176,0.24000000000000002,0.8395400672541187,86.27861844049197,3.5,swin_gan
patient_007,0.2199014127254486,0.17,0.8117598826042318,68.54195795277518,7.92,swin_gan
patient_008,0.3591306805610657,0.14,0.7803255367509258,57.0350769263968,10.31,swin_gan
patient_009,0.12135680764913559,0.11,0.7818796624410166,64.27285585688566,5.29,swin_gan
patient_010,0.20378543436527252,0.11,0.7589001292522272,66.05300901548695,11.69,swin_gan
patient_011,0.21467392146587372,0.09999999999999999,0.6994487656187108,74.22263805605402,13.53,swin_gan
patient_012,0.41935020685195923,0.09,0.6419089537089657,64.69930447848725,11.26,swin_gan
patient_013,0.50295090675354,0.16,0.8946759381014964,59.55669567731239,4.32,swin_gan
patient_014,0.1703309863805771,0.12,0.7551684061674839,66.04543890383347,7.46,swin_gan
patient_015,0.2146090716123581,0.06999999999999999,0.7539992390334717,54.092513345194085,7.68,swin_gan
patient_016,0.40175557136535645,0.12,0.79761698423589,63.52164985262898,7.03,swin_gan
patient_017,0.20473746955394745,0.09999999999999999,0.667928713628452,67.14908785679818,12.13,swin_gan
patient_018,0.08503797650337219,0.16,0.6863544464967624,88.50988645343524,9.81,swin_gan
patient_019,0.2196538895368576,0.16,0.7617592638401712,67.00746227100382,7.75,swin_gan
patient_020,0.08887454122304916,0.09,0.6877708344830629,70.8590149522275,6.33,swin_gan
patient_021,0.22631147503852844,0.06999999999999999,0.6621572057227463,70.35623639735144,9.6,swin_gan
patient_022,0.36399388313293457,0.060000000000000005,0.6603803179122479,62.49799996799898,11.29,swin_gan
patient_023,0.20628131926059723,0.15000000000000002,0.6389883684434339,68.57113095173507,9.93,swin_gan
patient_024,0.38212886452674866,0.18000000000000002,0.8140911566776757,60.340699366182356,8.78,swin_gan
patient_025,0.12948490679264069,0.21000000000000002,0.7080808250218912,69.05794668247819,6.64,swin_gan
patient_026,0.26408982276916504,0.05,0.6172967979991327,72.94518489934754,14.07,swin_gan
patient_027,0.19875521957874298,0.06999999999999999,0.662709927759281,69.6419413859206,11.69,swin_gan
patient_028,0.061089880764484406,0.14,0.7523150475229659,80.85171612278863,6.17,swin_gan
patient_029,0.09029987454414368,0.12,0.7236588987949476,79.98749902328488,5.48,swin_gan
patient_030,0.11006416380405426,0.11,0.6890841326346907,74.36396977031282,8.33,swin_gan
patient_031,0.2018333226442337,0.12,0.7057991490761787,73.76313442364011,10.87,swin_gan
patient_032,0.3132101893424988,0.11,0.6868843550088232,71.78439941937245,8.05,swin_gan
patient_033,0.5066797733306885,0.31,0.8995958964923729,48.84669896727925,3.81,swin_gan
patient_034,0.35788068175315857,0.11,0.7311773421144184,63.51377803280167,10.07,swin_gan
patient_035,0.3265727758407593,0.14,0.8119153534522792,49.29503017546495,2.47,swin_gan
patient_036,0.33859512209892273,0.15000000000000002,0.7643474379346793,72.92461861401813,8.12,swin_gan
patient_037,0.3208554983139038,0.15000000000000002,0.6998956857865598,63.419239982831705,8.7,swin_gan
patient_038,0.097758948802948,0.15000000000000002,0.7416363542001443,76.87002016391045,8.93,swin_gan
patient_039,0.3414277732372284,0.22,0.7668072117117488,62.90468980926621,10.02,swin_gan
patient_040,0.3163314461708069,0.060000000000000005,0.627717425653019,64.1404708432983,9.69,swin_gan
patient_041,0.05765195190906525,0.14,0.7489728380475785,69.29646455628166,5.98,swin_gan
patient_042,0.30918315052986145,0.16,0.7385094020283546,72.29799443968,11.24,swin_gan
patient_043,0.12466827780008316,0.22,0.8524851979512749,72.40165743959182,2.46,swin_gan
patient_044,0.207689106464386,0.06999999999999999,0.6568252467720136,67.09694478886502,13.27,swin_gan
patient_045,0.12475521862506866,0.18000000000000002,0.7556286988542698,75.21303078589507,6.88,swin_gan
patient_046,0.427829384803772,0.28,0.8635045670832578,49.4064773081425,4.98,swin_gan
patient_047,0.4600040316581726,0.24000000000000002,0.851792090437911,66.05300901548695,4.11,swin_gan
patient_048,0.2658947706222534,0.16,0.7661056908268077,67.26068688320095,9.29,swin_gan
patient_049,0.26417675614356995,0.16,0.8213274967643049,64.28841264178172,4.38,swin_gan
